"symbol","article_date","article_title","action","price_info","reason_summary"
"麦当劳 McDonald’s","2025-03-03","有些话只能点到为止~","减仓计划","320 美元减 5%","320 设置减仓后变为负成本防御型持仓"
"麦当劳 McDonald’s","2025-03-10","让一部分人更富一些~","分批减仓","320 / 330 美元各减 5%","320 触发减 5% 再在 330 减 5% 把部分浮盈落袋为安"
"默沙东 Merck","2025-02-05","机会点来了~","防守价买入","87.87 美元","大跌时 87.87 防守动作触发自动买入一档"
"默沙东 Merck","2025-02-17","路边的狗听了都遗憾~","更深防守价","77.83 美元","又设置 77.83 作为下一档更低防守买入位"
"默沙东 Merck","2025-11-26","调仓，长梦已醒~","清仓","105.5 美元全部卖出","105.5 卖出设置触发全部清仓价格创近一年新高顺势做减法"
"联合健康 UNH","2025-05-02","被束缚在经验里~","买入节点","410 / 400 美元","设置 410 400 买入节点其中 400 已触发成功买入"
"联合健康 UNH","2025-05-08","冲击会非常大~","买入节点","387 美元","387 买入被触发继续摊低整体成本"
"联合健康 UNH","2025-05-21","让奇迹发生~","支撑与计划减仓","277 美元支撑 350–373 美元减一部分","认为 277 为强支撑计划在 350–373 区间减一部分降仓降成本"
"联合健康 UNH","2025-09-10","这一路的颠沛流离~","高位减仓区","376–388 / 440–460 美元","把 376–388 和 440–460 视为两个阻力区后续在这些区间逢高减仓"
"礼来 Eli Lilly","2025-05-08","冲击会非常大~","补仓计划","720 / 700 小量补 450–660 重点补","高位 720 700 只微量补仓真正重点补仓放在 450–660 区间"
"礼来 Eli Lilly","2025-04-08","越无知越自信~","试探买入","670 美元","在 670 小量买入其他补仓节点保持不变"
"礼来 Eli Lilly","2025-02-09","走向深水区~","高位减仓","888.88 美元减仓","在 888.88 卖出一部分礼来进入负成本阶段"
"礼来 Eli Lilly","2025-02-26","保姆级教程","高位减仓","910 美元减仓","910 减仓成功进一步锁定收益"
"礼来 Eli Lilly","2025-03-07","何日君再来~","减仓设置","930 / 960 美元","930 减仓触发 960 减仓设置保留等待更高价"
"礼来 Eli Lilly","2025-11-06","去了一趟英伟达总部~","高位减仓梯度","925 / 930 减 10% 990 / 1000 各减 5%","925 930 再减 10% 并在 990 1000 预设各减 5% 高位多轮锁盈后长期持有"
"腾讯控股","2025-02-17","路边的狗听了都遗憾~","减仓计划","500 港元减一部分","在约 500 设置减仓落袋部分利润"
"腾讯控股","2025-02-21","普通人的妙笔~","调整减仓价","520 港元减一万股","将原本 550 减一万股的计划下调为 520 减仓顺应市况"
"腾讯控股","2025-04-09","终有一天等到你~","加仓价","280 港元以内加仓","写明 280 以内会考虑再次加仓高于则不买现有仓位已负成本"
"贵州茅台","2024-09-25","准备迎接惊涛骇浪~","清仓计划区","1500 元以上","计划 1500 以上开始分批清仓退出茅台"
"贵州茅台","2024-09-27","爱你在心口难开~","分批减仓","1485 / 1495 / 1505 / 1515 元","在 1485–1515 分四档共减约 40% 仓位"
"贵州茅台","2024-09-30","疯狂星期一","全部清仓","1720–1745 元和 1700 元以上","在 1720–1745 清掉大部分剩余约 5% 卖在 1700 以上至此全部清仓"
"沪铜期货","2025-03-07","何日君再来~","减仓与计划清仓","79,100–79,200 元减 15% 8 万以上陆续清","在 79,100–79,200 三档减 15% 计划若到 8 万以上陆续清仓离场"
"沪铜期货","2025-03-29","隧道的尽头~","继续减仓","8.25 万 / 8.3 万 元各减 5%","在 8.25 与 8.3 万再减 10% 剩约半仓准备看情况清掉"
"沪铜期货","2025-10-09","涨瞎了双眼~","清仓","最后约 50% 清空","表示会把剩余约 50% 沪铜全部清掉清空后就省心"
"QQQ 纳指100ETF","2025-01-15","准备迎接风暴吧~","捡筹价","490 / 480 美元","两个新账户在 490 480 设捡筹买点"
"QQQ 纳指100ETF","2025-04-04","大暴跌？就这？？~","预设买入","448.69 / 414.65 / 368.59 美元","暴跌预案中的更低档位买点当时尚未触发"
"QQQ 纳指100ETF","2025-02-24","他们都回来了？","减仓参考","540 / 612 美元","提到 540 和 612 可作为减仓参考但整体更偏长期持有"
"SPY 标普500ETF","2025-01-02","新的时间开始了~","分层建仓","586 / 580 / 575 / 565 / 555 美元","多档分层买入 SPY 作为长期压舱石配置"
"SPY VOO ETF","2025-04-04","大暴跌？就这？？~","更深买点","SPY 520 / 495 美元 VOO 490 / 475.2 / 455.1 美元","为更大回调预设的更低档买点用来加仓宽基指数"
"SPY 等宽基","2025-02-24","他们都回来了？","减仓参考","540 / 612 美元","与 QQQ 一样视 540 612 为可能的减仓区间但仍主张长期持有"
"MSTR","2025-01-02","新的时间开始了~","加仓","300 美元","个人账户在 300 美元加仓增加多头仓位"
"MSTR","2025-01-15","准备迎接风暴吧~","捡筹","295 美元","写明 295 捡 MSTR 作为更低一档建仓点"
"MSTR","2025-01-07","主力回来了~","多头减仓","380.5 / 385 美元","在 380 附近多次减仓是几轮波段套利之一"
"MSTR","2025-05-13","赚钱的伦理问题~","做空区间","430 美元做空 380–320 美元止盈","在 430 上方进场做空计划在 380–320 区间逐步止盈"
"甲骨文 Oracle","2025-10-31","暴跌终于来了~","观察价","257 美元","暴跌后价位约 257 仍因订单集中债务大股价高而不碰只做观察样本"
"甲骨文 Oracle","2025-11-26","调仓，长梦已醒~","仍未到买点","200 美元以下","跌到 200 以下仍觉得不够便宜要再跌一阵合适时只作为云计算备胎捡一点"
"MO","2025-10-31","暴跌终于来了~","防守观察","常态区 50–55 美元拉高到 65+","认为常态在 50–55 最近拉到 65 以上不正常高于 50 对自己没吸引力"
"VISA","2025-11-06","去了一趟英伟达总部~","防守持仓","340–350 美元区间","写 VISA 还在 340–350 区间徘徊作为防守型账户的一部分"
